condition_key,w_inter,trial_idx,seed,a_hat_value
WT,4.0,,,0.11757623924641358
WT,4.0,,,0.08310525436169673
WT,4.0,,,0.07510371137866118
WT,4.0,,,0.07434327602051798
WT,4.0,,,0.08481315604461594
WT,4.0,,,0.09874267509212732
WT,4.0,,,0.13162632653397974
WT,4.0,,,0.03793699677909672
WT,4.0,,,0.07632325741106653
WT,4.0,,,0.07259043170966349
WT,4.0,,,0.04298075758062173
WT,4.0,,,0.03225918075884906
WT,4.0,,,0.0551550102684167
WT,4.0,,,0.08917156253961454
WT,4.0,,,0.03079178042046312
WT,4.0,,,0.028029854490331622
WT,4.0,,,0.01696823649149346
WT,4.0,,,0.06843519962665463
WT,4.0,,,0.04451410337267463
WT,4.0,,,0.07248433949390105
WT,4.0,,,0.027041234453018537
WT,4.0,,,0.06551989471787324
WT,4.0,,,0.014989537937207262
WT,4.0,,,0.0672702306994969
WT,4.0,,,0.06303579424780716
WT,4.0,,,0.06403157346246328
WT,4.0,,,0.06271195156646181
WT,4.0,,,0.07743042859839193
WT,4.0,,,0.016773175518432687
WT,4.0,,,0.03079178042046312
WT,4.0,,,0.0710185984330409
WT,4.0,,,0.03872888022610582
WT,4.0,,,0.0033883373008875913
WT,4.0,,,0.11008911877723541
WT,4.0,,,0.06659248453670498
WT,4.0,,,0.048199302506911276
WT,4.0,,,0.08819235073709526
WT,4.0,,,0.021580626418869365
WT,4.0,,,0.02809269965518287
WT,4.0,,,0.06508411254174458
WT,4.0,,,0.06509591009549533
WT,4.0,,,0.07960474798133232
WT,4.0,,,0.009179637267272667
WT,4.0,,,0.021017284352011632
WT,4.0,,,0.07741896045726368
WT,4.0,,,0.0710185984330409
WT,4.0,,,0.04890378696086979
WT,4.0,,,0.09148758270978438
WT,4.0,,,0.09989536547241096
WT,4.0,,,0.04061307447384953
WT,4.0,,,0.06895720864933741
WT,4.0,,,0.024549714315441697
WT,4.0,,,0.10781367255584007
WT,4.0,,,0.018749820010659134
WT,4.0,,,0.10427918053531347
WT,4.0,,,0.11336583218980559
WT,4.0,,,0.08880244331674575
WT,4.0,,,0.020207871758643994
WT,4.0,,,0.03546074564303602
WT,4.0,,,0.04908114293259899
WT,4.0,,,0.02702876482859761
WT,4.0,,,0.04890378696086979
WT,4.0,,,0.086762651173085
WT,4.0,,,0.031545150731223645
WT,4.0,,,0.015088543788561254
WT,4.0,,,0.05610926398074438
WT,4.0,,,0.09675517005923116
WT,4.0,,,0.15369199080479948
WT,4.0,,,0.042157608475275284
WT,4.0,,,0.05594452887143818
WT,4.0,,,0.058198017972635976
WT,4.0,,,0.0629814623381077
WT,4.0,,,0.09788404183682461
WT,4.0,,,0.0668126466324183
WT,4.0,,,0.07411051467809533
