condition,trial_idx,seed,cue_deg,pre_cue_asym,delay_asym,delay_ms,amplitude,random_cue,snap_cue
WT,44,145857092,180.0,-0.020115581020250593,-0.006548118669204345,5000.0,30.0,0,0
WT,45,2084558133,180.0,-0.022335496560298856,-0.0014764862737777858,5000.0,30.0,0,0
WT,46,957106589,180.0,0.022666448063370082,-0.0011944816824552098,5000.0,30.0,0,0
WT,47,1917963002,180.0,-0.006539960579451617,0.002314461732843872,5000.0,30.0,0,0
WT,48,1455819991,180.0,0.013151227789953746,-0.003774529216852983,5000.0,30.0,0,0
WT,49,1671565830,180.0,-0.014658050058878094,-0.003513315983830018,5000.0,30.0,0,0
WT,50,1631871623,180.0,-0.005725671048505976,-0.0019379792311151518,5000.0,30.0,0,0
WT,51,417983441,180.0,-0.009729713355016151,0.002849036545923754,5000.0,30.0,0,0
WT,52,781482251,180.0,-0.047632569159772806,0.002642690023192714,5000.0,30.0,0,0
WT,53,1002275723,180.0,0.0022312603780381846,-0.006946310754071861,5000.0,30.0,0,0
WT,54,1068999196,180.0,0.036661893622160956,-0.003024121228244726,5000.0,30.0,0,0
WT,55,94067870,180.0,-0.013068915960489324,0.005261814389696026,5000.0,30.0,0,0
WT,56,1173749071,180.0,-0.0053123885631561904,-0.002621370006750085,5000.0,30.0,0,0
WT,57,331334160,180.0,-0.0012872859078768624,-0.004080825756560496,5000.0,30.0,0,0
WT,58,1596387604,180.0,0.0009516181598057423,0.004245421418691558,5000.0,30.0,0,0
WT,59,1466836456,180.0,0.01852368593087506,0.0007796911256312016,5000.0,30.0,0,0
WT,60,1981113449,180.0,-0.033074358531981984,0.0021869939770009015,5000.0,30.0,0,0
WT,61,1599364550,180.0,-0.051217007447798536,-0.0018146208300568645,5000.0,30.0,0,0
WT,62,787359109,180.0,-0.015754694091883573,-0.007740271994395727,5000.0,30.0,0,0
WT,63,2077711328,180.0,-0.021829488125873594,-0.0019281529804859362,5000.0,30.0,0,0
WT,64,882294416,180.0,-4.6332845707348637e-05,-0.0030768304484787797,5000.0,30.0,0,0
WT,65,699704628,180.0,-0.030076687724735686,-0.0007311653447224318,5000.0,30.0,0,0
WT,66,1944623248,180.0,-0.0023102804846745623,0.0016620246528325125,5000.0,30.0,0,0
WT,67,795556160,180.0,-0.007772641150906567,-0.0054018668287105194,5000.0,30.0,0,0
WT,68,163945743,180.0,-0.03529166995733791,-0.0073522102745194155,5000.0,30.0,0,0
WT,69,1008363426,180.0,0.005845910965847357,0.001958480300536471,5000.0,30.0,0,0
WT,70,1708709735,180.0,-0.012238037829154605,0.003372991671643836,5000.0,30.0,0,0
WT,71,406886644,180.0,0.026950130461368585,-0.0010592392503870815,5000.0,30.0,0,0
WT,72,994157306,180.0,0.024507533228662327,-0.009195875773454236,5000.0,30.0,0,0
WT,73,279004307,180.0,-0.021337284737872192,-0.00746255932908067,5000.0,30.0,0,0
WT,74,1474200731,180.0,-0.037520465623640746,-0.001844349479024968,5000.0,30.0,0,0
WT,75,1021568549,180.0,-0.021592237826159336,-0.0044686610394992065,5000.0,30.0,0,0
WT,76,709091226,180.0,-0.0042209801286671915,0.006884269420769053,5000.0,30.0,0,0
WT,77,487284116,180.0,0.004456895501436858,-0.00018595005833428523,5000.0,30.0,0,0
WT,78,1212254290,180.0,-0.020362121814302366,-0.0009321585765145634,5000.0,30.0,0,0
WT,79,1438414599,180.0,-0.03561481287545019,-0.0007177979576882878,5000.0,30.0,0,0
WT,80,2019291964,180.0,-0.005513037696635848,-0.011662915885157846,5000.0,30.0,0,0
WT,81,938776596,180.0,-0.013286946220865481,-0.00013087457581043447,5000.0,30.0,0,0
WT,82,345075200,180.0,-0.02132824322317465,-0.0058226243348636336,5000.0,30.0,0,0
WT,83,1788162809,180.0,-0.017814073261892695,-0.004663172359289009,5000.0,30.0,0,0
WT,84,1352408538,180.0,0.011195752533132493,-0.005061750941169049,5000.0,30.0,0,0
WT,85,1503807854,180.0,-0.009176533124373084,-0.0007792802200935641,5000.0,30.0,0,0
WT,86,208792607,180.0,-0.031081117479786147,-0.005456229907059641,5000.0,30.0,0,0
