offset_deg,amp_factor,trial_idx,displacement_deg,pre_amp,post_amp
20.0,1.25,2,-7.74962487776138,0.33149778983500455,0.17078878057467606
20.0,1.25,3,-3.280879736700191,0.3135190313898682,0.13780246631379442
20.0,1.25,4,-10.60276156555802,0.3786308716202599,0.13372571669043046
20.0,1.25,5,-14.875199123823258,0.327596243186111,0.11662692489045307
20.0,1.25,6,-36.773369394453375,0.312751996050056,0.141736168586621
20.0,1.25,8,-16.130900546130054,0.35050866056334906,0.1373534296542558
20.0,1.25,7,-11.115705966715892,0.30064608080875965,0.14319833092640197
20.0,1.25,9,-17.198048439184134,0.35466624771712657,0.1160523753722999
20.0,1.5,0,-4.399173609832525,0.3334814202961932,0.11102752323524698
20.0,1.5,1,-11.345424673417803,0.3319547427044478,0.1491095868204619
20.0,1.5,2,-8.547322330272282,0.33149778983500455,0.15440368969608925
20.0,1.5,3,-3.768961908394847,0.3135190313898682,0.12730347885851517
20.0,1.5,5,-15.457365908994685,0.327596243186111,0.10863204548266721
20.0,1.5,6,-39.97303675727287,0.312751996050056,0.13427275447406664
20.0,1.5,4,-12.216929720183426,0.3786308716202599,0.12355359153573726
20.0,1.5,7,-11.194646526685215,0.30064608080875965,0.13122167637945972
20.0,1.5,8,-17.29888368716953,0.35050866056334906,0.12661183523336123
20.0,1.5,9,-19.37855282306701,0.35466624771712657,0.09892994119226745
30.0,0.5,0,4.665785353751815,0.3334814202961932,0.25402555918625686
30.0,0.5,1,-0.47482394731875505,0.3319547427044478,0.2992399480468365
30.0,0.5,2,1.733782982096852,0.33149778983500455,0.3163177009947437
30.0,0.5,3,5.993151495716851,0.3135190313898682,0.290173214744031
30.0,0.5,4,1.0411541068286942,0.3786308716202599,0.2854558783219184
30.0,0.5,5,-3.546214643558548,0.327596243186111,0.23926753521590285
30.0,0.5,6,-9.874568527991789,0.312751996050056,0.2478468544397764
30.0,0.5,7,0.16768275171258212,0.30064608080875965,0.29317389460489635
30.0,0.5,8,-3.63847212923463,0.35050866056334906,0.2701285871243946
30.0,0.5,9,1.6925309405256421,0.35466624771712657,0.28121987320109665
30.0,0.75,0,0.023174453426190265,0.3334814202961932,0.20432939330752112
30.0,0.75,1,-5.907768125923954,0.3319547427044478,0.2472147521232986
30.0,0.75,2,-2.3950785622720505,0.33149778983500455,0.27216821889973664
30.0,0.75,3,0.47128637682816693,0.3135190313898682,0.2263640771962785
30.0,0.75,4,-5.6006359004924064,0.3786308716202599,0.22586920151452827
30.0,0.75,5,-8.760911449639396,0.327596243186111,0.19417259261770053
30.0,0.75,6,-20.454530040531207,0.312751996050056,0.20622565809953083
30.0,0.75,7,-4.663335376601614,0.30064608080875965,0.23972711327283838
30.0,0.75,8,-9.311662866504097,0.35050866056334906,0.22081089109351892
30.0,0.75,9,-5.820613343510822,0.35466624771712657,0.22125635882105543
30.0,1.0,0,-3.010982177370406,0.3334814202961932,0.17386389390218016
30.0,1.0,1,-9.12040139791823,0.3319547427044478,0.21690494408756616
30.0,1.0,2,-6.069441823501796,0.33149778983500455,0.2386861340447336
30.0,1.0,3,-3.1335727728373697,0.3135190313898682,0.19080274830908975
30.0,1.0,4,-11.104166907846949,0.3786308716202599,0.19245256533635696
30.0,1.0,5,-13.097554005867712,0.327596243186111,0.16672336192706613
30.0,1.0,6,-27.95625864471564,0.312751996050056,0.1838236854921186
30.0,1.0,7,-7.643223707795885,0.30064608080875965,0.20704187706908903
30.0,1.0,8,-13.198050107543503,0.35050866056334906,0.1914083861470848
30.0,1.0,9,-12.309573023869262,0.35466624771712657,0.18589050773593147
30.0,1.25,0,-4.6774592022193024,0.3334814202961932,0.15534186024766852
30.0,1.25,1,-10.739464467124566,0.3319547427044478,0.19923201483012745
30.0,1.25,2,-8.58209874914205,0.33149778983500455,0.21553559186670992
30.0,1.25,3,-5.289582781330613,0.3135190313898682,0.16956036992530424
30.0,1.25,4,-14.64449743163552,0.3786308716202599,0.17221371292159482
30.0,1.25,5,-15.984848552787867,0.327596243186111,0.14970739455550358
30.0,1.25,7,-9.33936845467286,0.30064608080875965,0.18670981736033712
30.0,1.25,6,-32.28429727542758,0.312751996050056,0.17062558803072966
30.0,1.25,8,-15.536741496245245,0.35050866056334906,0.17336211075417646
30.0,1.25,9,-16.759715639820524,0.35466624771712657,0.1642855772976658
30.0,1.5,0,-5.108334534685252,0.3334814202961932,0.143489261187521
30.0,1.5,1,-11.168658993932755,0.3319547427044478,0.18788459406757296
30.0,1.5,2,-9.95528643313476,0.33149778983500455,0.19928394985436187
