condition,amplitude,distractor_factor,offset_deg,phase_pi,trial_idx,seed,plv_mean_delay2,cue_power_mean_delay2,dist_power_mean_delay2
WT,20.0,1.0,120.0,0.0,41,1312343691,0.4074612150159874,0.8235338826618871,0.4439001987971871
WT,20.0,1.0,120.0,0.0,42,1762120781,0.5097146271655704,0.7300863528681648,0.40994857771141957
WT,20.0,1.0,120.0,0.0,43,1700607009,0.3936329526755337,0.696767190895599,0.48055916338958476
WT,20.0,1.0,120.0,0.0,44,1634649145,0.37465629469953504,0.8386590952993607,0.4135066979516012
WT,20.0,1.0,120.0,0.0,45,1036024353,0.40997012155586404,0.8395478407709622,0.4386029861232616
WT,20.0,1.0,120.0,0.0,46,261494503,0.5128138667077201,0.7880978261990227,0.4834857912014598
WT,20.0,1.0,120.0,0.0,47,2001682155,0.46779141399093754,0.7537387814922432,0.6363076448237662
WT,20.0,1.0,120.0,0.0,48,1311960750,0.3190545752662643,0.7362444975238759,0.3746816200828043
WT,20.0,1.0,120.0,0.0,49,295114914,0.571041005686716,0.7444506817864028,0.6544852978879037
WT,20.0,1.0,120.0,0.0,50,2006889349,0.45886961603529036,0.9626385850622854,0.5491886562755365
WT,20.0,1.0,120.0,0.0,51,1524829245,0.22476455183829788,0.6904864997388701,0.4078016633357553
WT,20.0,1.0,120.0,0.0,52,319434624,0.3174609860111449,0.6307669677040014,0.4052562921172595
WT,20.0,1.0,120.0,0.0,53,2032667552,0.5013558589870256,0.9092983964030076,0.6618006487043475
WT,20.0,1.0,120.0,0.0,54,1564774687,0.3017372547889296,0.7127078852281991,0.38236915440821
WT,20.0,1.0,120.0,0.0,55,2092577640,0.5452971007594216,0.8447029829912551,0.3944172662132095
WT,20.0,1.0,120.0,0.0,56,1166111204,0.28468768339086553,0.7726751057422011,0.49553598255383485
WT,20.0,1.0,120.0,0.0,57,1607521147,0.5854562601540684,1.0107156920188125,0.5524225080124401
WT,20.0,1.0,120.0,0.0,58,1324596573,0.47763319249801933,0.8459428558209194,0.5623127221515447
WT,20.0,1.0,120.0,0.0,59,1726642687,0.45920063318008353,0.6739919956844427,0.5631121118575091
WT,20.0,1.0,120.0,0.0,60,1888313977,0.41603942765229074,0.5922540285905098,0.36696660604665005
WT,20.0,1.0,120.0,0.0,61,1985561720,0.4351482714242947,0.8213813999916288,0.5356464743574436
WT,20.0,1.0,120.0,0.0,62,485771147,0.5659713043304903,0.7282692733370912,0.591578553321967
WT,20.0,1.0,120.0,0.0,63,1796771385,0.3681848286574157,0.7948831909731837,0.4141455496841949
WT,20.0,1.0,120.0,0.0,64,766643757,0.4281841215057111,0.8966687234558457,0.5622966029731393
WT,20.0,1.0,120.0,0.0,65,554969948,0.478658615812058,0.7810176986181896,0.5179016655494589
WT,20.0,1.0,120.0,0.0,66,1418387863,0.25190648681787275,0.7390395073571555,0.4166160999026895
WT,20.0,1.0,120.0,0.0,67,1770578616,0.3820579193723862,0.8650230976010942,0.4370772063845742
WT,20.0,1.0,120.0,0.0,68,507183781,0.3188575159978852,0.7866265356743593,0.49009954335768974
WT,20.0,1.0,120.0,0.0,69,1782558243,0.3171881108722451,0.6459234731357408,0.6626371785072416
