condition,amplitude,w_inter,trial_idx,seed,ref_amplitude,end_val_normalized
WT,10.0,8.0,35,234713593,0.5536735842850313,0.10025851364150583
WT,10.0,8.0,36,885327366,0.5361872503888422,0.10025851364150583
WT,10.0,8.0,37,928832081,0.5360042267169266,0.10025851364150583
WT,10.0,8.0,38,1947615286,0.5395607207940245,0.10025851364150583
WT,10.0,8.0,39,20360091,0.5500956810192588,0.10025851364150583
WT,10.0,8.0,40,1806363173,0.5358953977210262,0.10025851364150583
WT,10.0,8.0,41,1312343691,0.5243518754873537,0.10025851364150583
WT,10.0,8.0,42,1762120781,0.5359645407472798,0.10025851364150583
WT,10.0,8.0,43,1700607009,0.5376339383958337,0.10025851364150583
WT,10.0,8.0,44,1634649145,0.5480837532365419,0.10025851364150583
WT,10.0,8.0,45,1036024353,0.5535946779716974,0.10025851364150583
WT,10.0,8.0,46,261494503,0.525757366533024,0.10025851364150583
WT,10.0,8.0,47,2001682155,0.514282794707459,0.10025851364150583
WT,10.0,8.0,48,1311960750,0.5208589462494253,0.10025851364150583
WT,10.0,8.0,49,295114914,0.5358076004500303,0.10025851364150583
WT,15.0,8.0,0,1168784116,0.6026335938314505,0.09072170832424366
WT,15.0,8.0,1,921289450,0.5944829141458006,0.09072170832424366
WT,15.0,8.0,2,1293255992,0.610762737869861,0.09072170832424366
WT,15.0,8.0,3,1702858716,0.6105855715601336,0.09072170832424366
WT,15.0,8.0,4,1895310323,0.6085117192542433,0.09072170832424366
WT,15.0,8.0,5,211694680,0.5929949413083747,0.09072170832424366
WT,15.0,8.0,6,280584697,0.5846717504897639,0.09072170832424366
WT,15.0,8.0,7,617447500,0.5767123333373406,0.09072170832424366
WT,15.0,8.0,8,1249765968,0.5564118667084261,0.09072170832424366
WT,15.0,8.0,9,1504658074,0.6148624695026321,0.09072170832424366
WT,15.0,8.0,10,1008898872,0.5951905117556676,0.09072170832424366
WT,15.0,8.0,11,794319243,0.5816134033510223,0.09072170832424366
WT,15.0,8.0,12,204008863,0.5734246932905068,0.09072170832424366
WT,15.0,8.0,13,1880439445,0.5818497193753689,0.09072170832424366
WT,15.0,8.0,14,1306372712,0.5906101557366742,0.09072170832424366
WT,15.0,8.0,15,2122084012,0.5988532109814522,0.09072170832424366
WT,15.0,8.0,16,1976297044,0.5655137398206995,0.09072170832424366
WT,15.0,8.0,17,784548992,0.5774020895512522,0.09072170832424366
WT,15.0,8.0,18,2121403537,0.5950243703704271,0.09072170832424366
WT,15.0,8.0,19,347016859,0.6016629897771388,0.09072170832424366
WT,15.0,8.0,20,527842052,0.5823820800169078,0.09072170832424366
WT,15.0,8.0,21,215409799,0.5914017630661328,0.09072170832424366
WT,15.0,8.0,22,350632298,0.6001106808820691,0.09072170832424366
WT,15.0,8.0,23,2071774379,0.5960710038397065,0.09072170832424366
WT,15.0,8.0,24,1492822048,0.5991183053788414,0.09072170832424366
WT,15.0,8.0,25,199233221,0.5892344440054795,0.09072170832424366
WT,15.0,8.0,26,1395966768,0.6183916175543509,0.09072170832424366
WT,15.0,8.0,27,786556690,0.5872869892325856,0.09072170832424366
WT,15.0,8.0,28,649984770,0.606541622501374,0.09072170832424366
WT,15.0,8.0,29,337723248,0.6130600707007572,0.09072170832424366
WT,15.0,8.0,30,1094264184,0.5894829853674655,0.09072170832424366
WT,15.0,8.0,31,2089154132,0.5513491257562745,0.09072170832424366
WT,15.0,8.0,32,1584690825,0.6009410184286437,0.09072170832424366
WT,15.0,8.0,33,795962858,0.6036036573471114,0.09072170832424366
WT,15.0,8.0,34,827737825,0.5863595992655367,0.09072170832424366
WT,15.0,8.0,35,234713593,0.61303179396282,0.09072170832424366
WT,15.0,8.0,36,885327366,0.592098800513283,0.09072170832424366
WT,15.0,8.0,37,928832081,0.5968411932416778,0.09072170832424366
WT,15.0,8.0,38,1947615286,0.6013926261022225,0.09072170832424366
WT,15.0,8.0,39,20360091,0.5981656977786767,0.09072170832424366
