condition,w_inter,trial_idx,seed,A_hat,cap_hit,noise_percentile,noise_threshold
WT,0.002375,89,551,0.01031270566,0,95,0.02959617164
WT,0.002375,90,552,0.01849211115,0,95,0.02959617164
WT,0.002375,91,553,0.004285425173,0,95,0.02959617164
WT,0.002375,92,554,0.01153722404,0,95,0.02959617164
WT,0.002375,93,555,0.02014949856,0,95,0.02959617164
WT,0.002375,94,556,0.007034383383,0,95,0.02959617164
WT,0.002375,95,557,0.007178246743,0,95,0.02959617164
WT,0.002375,96,558,0.01645606384,0,95,0.02959617164
WT,0.002375,97,559,0.008606287918,0,95,0.02959617164
WT,0.002375,98,560,0.01416728618,0,95,0.02959617164
WT,0.002375,99,561,0.009056230243,0,95,0.02959617164
WT,0.0028333333,0,472,0.01579054167,0,95,0.02901515624
