condition,amplitude,distractor_factor,offset_deg,trial_idx,seed,cue_freq_median_hz,cue_power_median,dist_freq_median_hz,dist_power_median,plv_median_delay2
WT,25.0,0.75,170.0,14,1306372712,6.509635084727962,2.2310897755939467,4.0201496473543425,0.052027096176202596,0.30558715518346363
WT,25.0,0.75,170.0,15,2122084012,6.589905354314279,2.303505587231802,3.4815119490033086,0.0900148663996247,0.34328628853420096
WT,25.0,0.75,170.0,16,1976297044,6.838989425007817,2.287159022351384,3.5182398603062843,0.12903250963668125,0.33417721668165734
WT,25.0,0.75,170.0,17,784548992,6.8596828725949965,1.9118602299454135,4.856254226218015,0.04836026185053091,0.2745805392367227
WT,25.0,0.75,170.0,18,2121403537,6.608694024073693,1.9934632966062051,5.273496316690516,0.04602983546625977,0.5937907998275873
WT,25.0,0.75,170.0,19,347016859,6.209904303107461,2.110552332999005,4.482647924088059,0.07581037966101681,0.47879063670044364
WT,25.0,0.75,170.0,20,527842052,6.585036603712274,1.972246087881326,3.779609652442775,0.02338626572863153,0.41128658341105606
WT,25.0,0.75,170.0,21,215409799,6.557813354690023,2.9501254154110352,3.9662113661865983,0.03673752029068128,0.4462697969619402
WT,25.0,0.75,170.0,22,350632298,6.384647155703032,2.075942205777555,3.663327371132965,0.05263205317753578,0.3066739208597742
WT,25.0,0.75,170.0,23,2071774379,6.522330701826065,2.2353406764976214,3.949195955831069,0.04980210804867993,0.4437642036681
WT,25.0,0.75,170.0,24,1492822048,6.268912045864135,1.8763540099293978,4.166847399242292,0.0668593497159097,0.2759864946770907
WT,25.0,0.75,170.0,25,199233221,6.448228928778653,1.9887181617391751,4.800007328729629,0.05470926325758866,0.5866660742025556
WT,25.0,0.75,170.0,26,1395966768,5.930428988483192,2.1209324405848378,4.590792887532166,0.05207428596761413,0.45678690579371306
WT,25.0,0.75,170.0,27,786556690,6.071248922887133,1.6401406968069014,4.7720007604332855,0.045889362101610716,0.44113495634831507
WT,25.0,0.75,170.0,28,649984770,6.451592834591206,1.4930402085451582,3.3227113747457615,0.03068105164295021,0.3096129386327102
WT,25.0,0.75,170.0,29,337723248,7.043802847312697,1.5452823577939714,4.004646248226759,0.030042235453806337,0.3581207420588222
WT,25.0,0.75,170.0,30,1094264184,6.545620572507658,2.396482537314528,4.078564728973728,0.10115329040357227,0.536384405768283
WT,25.0,0.75,170.0,31,2089154132,6.685347346805112,1.8833708301275038,4.635568606759221,0.03877758952454077,0.5901174348911138
WT,25.0,0.75,170.0,32,1584690825,6.595533536364506,1.4789821932598992,4.885641712012047,0.05628773673546879,0.43734822298237663
WT,25.0,0.75,170.0,33,795962858,6.832300000459028,1.8285102958086263,4.112341660286775,0.043069931970464714,0.41159469106944135
WT,25.0,0.75,170.0,34,827737825,6.391570804796232,1.9538764400002042,4.645301415495368,0.03049545793366685,0.5046873343551712
WT,25.0,0.75,170.0,35,234713593,6.821400377453245,1.7164013116885366,3.9480861254038344,0.038766469730537684,0.27687246804781784
WT,25.0,0.75,170.0,36,885327366,6.035822340411286,2.0742438573398636,4.071229087698665,0.05636776173726725,0.394299922556023
WT,25.0,0.75,170.0,37,928832081,6.650590883670393,2.1954856389734605,4.250397636029834,0.0429277052434692,0.3559469390239893
WT,25.0,0.75,170.0,38,1947615286,6.22864354699542,1.7489416722109463,5.359380617123206,0.07693115010149044,0.3740880554500807
WT,25.0,0.75,170.0,39,20360091,6.474862477236566,2.2015894619578376,3.318945641482476,0.05534066182916,0.3356664415327928
WT,25.0,0.75,170.0,40,1806363173,6.892311832400444,2.1985025769696938,2.816027180968349,0.0741492314364588,0.48592664955785275
WT,25.0,0.75,170.0,41,1312343691,6.029068391863681,2.150539520589801,5.523738555834746,0.10748566230247969,0.32366310287167066
WT,25.0,0.75,170.0,42,1762120781,6.532760171793866,1.884315593994557,4.2762769739062625,0.018433335599699823,0.4096030502266004
WT,25.0,0.75,170.0,43,1700607009,6.282797147270856,2.229644250898784,4.465247360698687,0.07486683322673672,0.44204627989564244
