condition_key,lag_s,msd_mean,msd_sem,msd_sd,fit_line
WT,1.5847989949748742,0.009684600477439749,0.0010442847466654885,0.007384208258568428,0.008996011371765254
WT,1.5957286432160802,0.009940028139106381,0.0010667630844101036,0.007543154109058616,0.009006888020945215
WT,1.6066582914572862,0.010127979248803248,0.0010972570118832012,0.007758778738070998,0.009017764670125177
WT,1.6175879396984922,0.010176470542726104,0.0011169368561288685,0.007897936251259062,0.009028641319305138
WT,1.6285175879396983,0.010087710960312706,0.001118658272940314,0.007910108506265279,0.0090395179684851
WT,1.6394472361809045,0.009908973176557397,0.0010902686813076957,0.007709363778679865,0.009050394617665061
WT,1.6503768844221105,0.009725952309325759,0.0010745996332987091,0.007598566877660946,0.009061271266845023
WT,1.6613065326633165,0.009651956671846876,0.0011147552364986952,0.00788250987091441,0.009072147916024984
WT,1.6722361809045225,0.009649320154304515,0.0011365128131040124,0.008036359170512465,0.009083024565204946
WT,1.6831658291457285,0.009750042895983864,0.0011500395026248886,0.008132007309384631,0.009093901214384907
WT,1.6940954773869346,0.009946218478753148,0.001174524199649708,0.00830514026240011,0.00910477786356487
WT,1.7050251256281406,0.010133051912712637,0.0011946285200373282,0.008447299275172442,0.00911565451274483
WT,1.7159547738693466,0.010251345131012073,0.0012294640845977322,0.008693623914443676,0.009126531161924793
WT,1.7268844221105526,0.010300779426104426,0.0012683221078647311,0.008968391631999672,0.009137407811104753
WT,1.7378140703517586,0.010256087257240974,0.0012811285457141805,0.00905894682246157,0.009148284460284716
WT,1.7487437185929646,0.010137784727110856,0.0012442103162672719,0.00879789551854847,0.009159161109464678
WT,1.7596733668341706,0.01010664725414863,0.0012187191218177447,0.008617645553990414,0.009170037758644639
WT,1.7706030150753767,0.010192848753512966,0.0012236408930545143,0.0086524477321601,0.0091809144078246
WT,1.7815326633165827,0.01037385448990472,0.0012548178282375002,0.008872901955005128,0.009191791057004562
WT,1.792462311557789,0.010549284064285753,0.0012893808156059865,0.009117299182468345,0.009202667706184523
WT,1.803391959798995,0.01075159992176756,0.001327424592322904,0.009386309307453138,0.009213544355364485
WT,1.814321608040201,0.01086514362807566,0.0013562200986962354,0.009589924285695968,0.009224421004544446
WT,1.825251256281407,0.010818999639726868,0.0013522222519272856,0.009561655240091277,0.009235297653724408
WT,1.836180904522613,0.010730973739484125,0.001363467991622869,0.009641174628073335,0.00924617430290437
WT,1.847110552763819,0.01065050486258822,0.0013798571301659847,0.009757063338089764,0.00925705095208433
WT,1.858040201005025,0.010571550403834893,0.0013804081268077814,0.009760959472708018,0.009267927601264292
WT,1.868969849246231,0.010541685576735882,0.001349073243392578,0.009539388387202216,0.009278804250444254
WT,1.879899497487437,0.010691533941369527,0.001347865006112255,0.009530844859460229,0.009289680899624215
WT,1.890829145728643,0.01084341828571737,0.001349628528342853,0.00954331484474052,0.009300557548804177
WT,1.901758793969849,0.011044125081490502,0.001387823249591415,0.0098133923087444,0.009311434197984138
WT,1.912688442211055,0.011200600055363143,0.001430700260667403,0.01011657856163282,0.0093223108471641
WT,1.923618090452261,0.011329214967214406,0.0014841630155756358,0.010494617326998076,0.009333187496344061
WT,1.934547738693467,0.01138878040170601,0.00152177164159137,0.010760550471866422,0.009344064145524023
WT,1.9454773869346733,0.011325209497962651,0.0015195568623093336,0.010744889617374827,0.009354940794703986
WT,1.9564070351758793,0.011196415653963804,0.0014851412209357607,0.01050153428343345,0.009365817443883945
WT,1.9673366834170853,0.011127100220776105,0.001464116097036527,0.010352864206589095,0.009376694093063909
WT,1.9782663316582914,0.01121748947189072,0.001499314844863709,0.010601756939367851,0.009387570742243868
WT,1.9891959798994974,0.01140683791789366,0.001559409630263641,0.011026691242070275,0.009398447391423832
WT,2.000125628140703,0.011604076887080953,0.0016218332753343756,0.01146809306942926,0.009409324040603791
WT,2.011055276381909,0.011716301609930278,0.0016474615933194999,0.011649312643806127,0.009420200689783755
WT,2.0219849246231156,0.011763692915465848,0.001700020713266906,0.012020961745086206,0.009431077338963716
WT,2.0329145728643216,0.011649811822995172,0.0017197497214305488,0.012160466899672172,0.009441953988143677
WT,2.0438442211055277,0.011533218564395905,0.0017156711219974024,0.012131626846502958,0.009452830637323639
WT,2.0547738693467337,0.011545748174446346,0.0017096266686732094,0.012088886107161932,0.0094637072865036
WT,2.0657035175879397,0.01172871877453311,0.0017020492817527157,0.01203530589041038,0.009474583935683562
WT,2.0766331658291457,0.012005756784222997,0.0017029938597658955,0.012041985065595171,0.009485460584863523
WT,2.0875628140703517,0.012324288477740086,0.0017550165977944516,0.012409841373954004,0.009496337234043485
WT,2.0984924623115577,0.012618616890431155,0.001797672443786273,0.012711463753534664,0.009507213883223446
WT,2.1094221105527637,0.012907725732548083,0.0018806138382687723,0.013297947978331101,0.009518090532403408
WT,2.1203517587939698,0.012891899352828893,0.001958942300642946,0.013851813847378037,0.00952896718158337
WT,2.1312814070351758,0.012654558473246123,0.002043497603883751,0.01444971013044662,0.00953984383076333
WT,2.142211055276382,0.012274504915132997,0.0020073112527653272,0.014193833987824268,0.009550720479943292
WT,2.153140703517588,0.011949494192065853,0.001944444645762575,0.013749299946605911,0.009561597129123254
WT,2.164070351758794,0.01191587964760461,0.0018884443948601266,0.013353318374993216,0.009572473778303215
WT,2.175,0.012202707839267267,0.0019023026506356311,0.013451311041335985,0.009583350427483176
WT_APP,0.0,0.0,0.0,0.0,0.03030474068226166
WT_APP,0.01092964824120603,0.012024694774126538,0.0011347826125825877,0.008024124805297347,0.03037746677418584
WT_APP,0.02185929648241206,0.02603974529029788,0.0018581594876464333,0.013139171742409137,0.030450192866110014
WT_APP,0.03278894472361809,0.03801018352439725,0.0022535688619138437,0.015935138241301293,0.030522918958034193
WT_APP,0.04371859296482412,0.045093601046660325,0.002535015766540366,0.017925268389355067,0.03059564504995837
WT_APP,0.054648241206030145,0.04586686306181287,0.0026366887354882075,0.01864420484741895,0.030668371141882547
WT_APP,0.06557788944723618,0.04068818748634029,0.0025308090487061235,0.017895522402283755,0.030741097233806726
WT_APP,0.0765075376884422,0.03193471429950129,0.0022867019952061926,0.01616942487363107,0.0308138233257309
WT_APP,0.08743718592964823,0.024300730836715974,0.002081247138738014,0.014716639651267491,0.03088654941765508
WT_APP,0.09836683417085426,0.019924734344509445,0.001975746716617824,0.013970639012275196,0.030959275509579255
WT_APP,0.10929648241206029,0.021324616620263442,0.0019024175476298345,0.013452123485773378,0.031032001601503434
WT_APP,0.12022613065326632,0.026836983894607185,0.001925619586955342,0.01361618667921761,0.031104727693427613
WT_APP,0.13115577889447236,0.03336269069429496,0.0021534906765664874,0.015227478606221694,0.031177453785351788
WT_APP,0.14208542713567837,0.03816413353166051,0.002418888198180991,0.017104122478658883,0.03125017987727596
