condition_key,offset_deg,trial_idx,seed,displacement_rad,pre_amp,post_amp
WT,20.0,36,1843166518,-0.11803579833750977,0.23005503058387708,0.25008414255011363
WT,20.0,37,1777324407,-0.16657192760523865,0.2736958346642746,0.2171297296350328
WT,20.0,38,594336917,-0.1623588970488652,0.2555018704777774,0.2528372699158758
WT,20.0,39,1356488967,-0.06035414040953624,0.2559934325776668,0.2639325061892075
WT,20.0,40,354826746,-0.051183634486505536,0.283036583204133,0.24123647994342798
WT,20.0,41,1627981024,-0.06841463708652329,0.2542542518351838,0.2476107293486473
WT,20.0,42,1504361614,-0.24394987424416525,0.2615330316936431,0.26430218814552076
WT,20.0,43,761338718,-0.11944728099626767,0.2995868495236471,0.2425860628089185
WT,20.0,44,145857092,-0.20812623973626998,0.2874872801927854,0.2478070616835518
WT,20.0,45,2084558133,-0.11336590187148943,0.23293223807403163,0.2833110655766845
WT,20.0,46,957106589,-0.26263900161511655,0.2876245602835372,0.2525256092275053
WT,20.0,47,1917963002,-0.01791262787823822,0.263210831548999,0.25851756786604296
WT,20.0,48,1455819991,-0.084436244080345,0.25534280407441073,0.22941211096474523
WT,20.0,49,1671565830,-0.21216519418209678,0.2504926422706843,0.2204660829329774
WT,30.0,0,191664963,0.029268437561961402,0.26631861378210003,0.25471933283004056
WT,30.0,1,1662057957,-0.21903354334136171,0.23879696312934323,0.23323410908078984
WT,30.0,2,1405681631,-0.11628774087142668,0.28608093941517243,0.2966602769272687
WT,30.0,3,942484272,-0.11343308038512312,0.30140524896940957,0.26770825479575155
WT,30.0,4,929893137,-0.042916550487429816,0.30635626291622675,0.2881317226666489
WT,30.0,5,1843824992,-0.20447206728109713,0.28722792806146613,0.2703228395838301
WT,30.0,6,184566854,-0.07885834600929043,0.2751084283119421,0.22411763647168706
WT,30.0,7,1497586438,-0.008230379946740474,0.27157146146840216,0.2741845983749317
WT,30.0,8,432652533,-0.033708602890341055,0.2819902935747795,0.29272490780235116
WT,30.0,9,202244314,-0.07961927291482862,0.2993378716378092,0.2649771219535939
WT,30.0,10,1130604997,-0.2362180173225874,0.24238972768175487,0.22541400689122537
WT,30.0,11,2095133045,-0.11688079610118285,0.27762785625423386,0.2876014577382361
WT,30.0,12,1580016183,-0.030326955557487878,0.28137797986750157,0.2506460100174787
