condition,w_inter,trial_idx,seed,A_hat,noise_percentile,noise_threshold
WT,4,168,40610,0.08714331623,95,0.1187718425
WT,4,169,40611,0.01842723696,95,0.1187718425
WT,4,170,40612,0.09777939431,95,0.1187718425
WT,4,171,40613,0.02885159568,95,0.1187718425
WT,4,172,40614,0.02366444997,95,0.1187718425
WT,4,173,40615,0.06613266354,95,0.1187718425
WT,4,174,40616,0.03589494965,95,0.1187718425
WT,4,175,40617,0.08538430605,95,0.1187718425
WT,4,176,40618,0.04406415474,95,0.1187718425
WT,4,177,40619,0.08106343856,95,0.1187718425
WT,4,178,40620,0.04839451806,95,0.1187718425
WT,4,179,40621,0.07545964843,95,0.1187718425
WT,4,180,40622,0.0345254613,95,0.1187718425
WT,4,181,40623,0.03095928351,95,0.1187718425
WT,4,182,40624,0.1008260504,95,0.1187718425
WT,4,183,40625,0.07507887462,95,0.1187718425
WT,4,184,40626,0.06987310387,95,0.1187718425
WT,4,185,40627,0.03407733512,95,0.1187718425
WT,4,186,40628,0.07382281641,95,0.1187718425
WT,4,187,40629,0.08225654431,95,0.1187718425
WT,4,188,40630,0.05144558631,95,0.1187718425
WT,4,189,40631,0.01658523044,95,0.1187718425
WT,4,190,40632,0.1044567951,95,0.1187718425
WT,4,191,40633,0.05950436575,95,0.1187718425
WT,4,192,40634,0.09932803424,95,0.1187718425
WT,4,193,40635,0.07426892064,95,0.1187718425
WT,4,194,40636,0.04221997792,95,0.1187718425
WT,4,195,40637,0.06886976855,95,0.1187718425
WT,4,196,40638,0.1349008307,95,0.1187718425
WT,4,197,40639,0.06621092529,95,0.1187718425
WT,4,198,40640,0.05121637959,95,0.1187718425
WT,4,199,40641,0.1182715172,95,0.1187718425
WT,5,0,50442,0.06442261427,95,0.1099424344
WT,5,1,50443,0.01157418664,95,0.1099424344
WT,5,2,50444,0.06031663579,95,0.1099424344
WT,5,3,50445,0.05230047489,95,0.1099424344
WT,5,4,50446,0.1087505042,95,0.1099424344
WT,5,5,50447,0.05502871601,95,0.1099424344
WT,5,6,50448,0.04590868187,95,0.1099424344
WT,5,7,50449,0.03755071956,95,0.1099424344
WT,5,8,50450,0.04730610963,95,0.1099424344
WT,5,9,50451,0.08986033047,95,0.1099424344
WT,5,10,50452,0.02742607526,95,0.1099424344
WT,5,11,50453,0.01277577486,95,0.1099424344
WT,5,12,50454,0.04185922258,95,0.1099424344
WT,5,13,50455,0.09498580409,95,0.1099424344
WT,5,14,50456,0.05295551431,95,0.1099424344
WT,5,15,50457,0.05784369447,95,0.1099424344
WT,5,16,50458,0.08217692087,95,0.1099424344
WT,5,17,50459,0.06081749854,95,0.1099424344
WT,5,18,50460,0.1307032156,95,0.1099424344
WT,5,19,50461,0.04652492268,95,0.1099424344
WT,5,20,50462,0.05321421658,95,0.1099424344
WT,5,21,50463,0.05557385781,95,0.1099424344
WT,5,22,50464,0.09819674308,95,0.1099424344
WT,5,23,50465,0.06554380355,95,0.1099424344
WT,5,24,50466,0.07319737033,95,0.1099424344
WT,5,25,50467,0.1190349379,95,0.1099424344
WT,5,26,50468,0.04424515113,95,0.1099424344
WT,5,27,50469,0.028459812,95,0.1099424344
WT,5,28,50470,0.02212148829,95,0.1099424344
WT,5,29,50471,0.02859648627,95,0.1099424344
WT,5,30,50472,0.0809980428,95,0.1099424344
WT,5,31,50473,0.01691482784,95,0.1099424344
WT,5,32,50474,0.04159388373,95,0.1099424344
WT,5,33,50475,0.03874896613,95,0.1099424344
WT,5,34,50476,0.05546585363,95,0.1099424344
WT,5,35,50477,0.04378516204,95,0.1099424344
WT,5,36,50478,0.04219368115,95,0.1099424344
WT,5,37,50479,0.05818837615,95,0.1099424344
WT,5,38,50480,0.02865025821,95,0.1099424344
WT,5,39,50481,0.04328714942,95,0.1099424344
WT,5,40,50482,0.02222539434,95,0.1099424344
WT,5,41,50483,0.04757884446,95,0.1099424344
WT,5,42,50484,0.07145033117,95,0.1099424344
WT,5,43,50485,0.01646298916,95,0.1099424344
WT,5,44,50486,0.009484599629,95,0.1099424344
WT,5,45,50487,0.03541698623,95,0.1099424344
WT,5,46,50488,0.02912038032,95,0.1099424344
WT,5,47,50489,0.1112521566,95,0.1099424344
WT,5,48,50490,0.02393588494,95,0.1099424344
WT,5,49,50491,0.06722499446,95,0.1099424344
WT,5,50,50492,0.04925181869,95,0.1099424344
WT,5,51,50493,0.05505139263,95,0.1099424344
WT,5,52,50494,0.0510295972,95,0.1099424344
WT,5,53,50495,0.04900861938,95,0.1099424344
WT,5,54,50496,0.04712444929,95,0.1099424344
WT,5,55,50497,0.04083194033,95,0.1099424344
WT,5,56,50498,0.02999862506,95,0.1099424344
WT,5,57,50499,0.04244750257,95,0.1099424344
WT,5,58,50500,0.08014580272,95,0.1099424344
WT,5,59,50501,0.05675300686,95,0.1099424344
WT,5,60,50502,0.08779360358,95,0.1099424344
WT,5,61,50503,0.07510870436,95,0.1099424344
WT,5,62,50504,0.08495125527,95,0.1099424344
WT,5,63,50505,0.07063135728,95,0.1099424344
WT,5,64,50506,0.02887000671,95,0.1099424344
WT,5,65,50507,0.01164540633,95,0.1099424344
WT,5,66,50508,0.07862895236,95,0.1099424344
WT,5,67,50509,0.01498284958,95,0.1099424344
WT,5,68,50510,0.02493768181,95,0.1099424344
WT,5,69,50511,0.04432335204,95,0.1099424344
WT,5,70,50512,0.1018313104,95,0.1099424344
WT,5,71,50513,0.06291843329,95,0.1099424344
WT,5,72,50514,0.02175396359,95,0.1099424344
WT,5,73,50515,0.1073826702,95,0.1099424344
WT,5,74,50516,0.08507470267,95,0.1099424344
WT,5,75,50517,0.05566099913,95,0.1099424344
WT,5,76,50518,0.05026053895,95,0.1099424344
WT,5,77,50519,0.05465615127,95,0.1099424344
WT,5,78,50520,0.0858562687,95,0.1099424344
WT,5,79,50521,0.04075699962,95,0.1099424344
WT,5,80,50522,0.1502015394,95,0.1099424344
WT,5,81,50523,0.03256243761,95,0.1099424344
WT,5,82,50524,0.05447067339,95,0.1099424344
WT,5,83,50525,0.09230689059,95,0.1099424344
WT,5,84,50526,0.1129943149,95,0.1099424344
WT,5,85,50527,0.07552380887,95,0.1099424344
WT,5,86,50528,0.04932779302,95,0.1099424344
WT,5,87,50529,0.0945733089,95,0.1099424344
WT,5,88,50530,0.06000301101,95,0.1099424344
WT,5,89,50531,0.08547399922,95,0.1099424344
WT,5,90,50532,0.02288065373,95,0.1099424344
WT,5,91,50533,0.06073015723,95,0.1099424344
WT,5,92,50534,0.05245571009,95,0.1099424344
WT,5,93,50535,0.06794858121,95,0.1099424344
WT,5,94,50536,0.08455034251,95,0.1099424344
WT,5,95,50537,0.006077234456,95,0.1099424344
WT,5,96,50538,0.1055412704,95,0.1099424344
WT,5,97,50539,0.09388523384,95,0.1099424344
WT,5,98,50540,0.0697447168,95,0.1099424344
WT,5,99,50541,0.08642745352,95,0.1099424344
WT,5,100,50542,0.04728409034,95,0.1099424344
WT,5,101,50543,0.05531449008,95,0.1099424344
WT,5,102,50544,0.02582181956,95,0.1099424344
WT,5,103,50545,0.09671362646,95,0.1099424344
WT,5,104,50546,0.0491180344,95,0.1099424344
WT,5,105,50547,0.03301701652,95,0.1099424344
WT,5,106,50548,0.02834541918,95,0.1099424344
WT,5,107,50549,0.0996114702,95,0.1099424344
WT,5,108,50550,0.06511709152,95,0.1099424344
WT,5,109,50551,0.04349868199,95,0.1099424344
WT,5,110,50552,0.01432480728,95,0.1099424344
WT,5,111,50553,0.08182036757,95,0.1099424344
WT,5,112,50554,0.04778533746,95,0.1099424344
WT,5,113,50555,0.09046363114,95,0.1099424344
WT,5,114,50556,0.01231813827,95,0.1099424344
WT,5,115,50557,0.05688672856,95,0.1099424344
WT,5,116,50558,0.05519457267,95,0.1099424344
WT,5,117,50559,0.06364225375,95,0.1099424344
WT,5,118,50560,0.05536712373,95,0.1099424344
WT,5,119,50561,0.06634919631,95,0.1099424344
WT,5,120,50562,0.05764477063,95,0.1099424344
WT,5,121,50563,0.01310185462,95,0.1099424344
WT,5,122,50564,0.02054345318,95,0.1099424344
WT,5,123,50565,0.06180498384,95,0.1099424344
WT,5,124,50566,0.1098735017,95,0.1099424344
WT,5,125,50567,0.03326169949,95,0.1099424344
WT,5,126,50568,0.01912489108,95,0.1099424344
WT,5,127,50569,0.08317621649,95,0.1099424344
WT,5,128,50570,0.04729688643,95,0.1099424344
WT,5,129,50571,0.03569514409,95,0.1099424344
WT,5,130,50572,0.08438153663,95,0.1099424344
WT,5,131,50573,0.09103235922,95,0.1099424344
WT,5,132,50574,0.01854086178,95,0.1099424344
WT,5,133,50575,0.05557162652,95,0.1099424344
WT,5,134,50576,0.09099396943,95,0.1099424344
WT,5,135,50577,0.05634701834,95,0.1099424344
WT,5,136,50578,0.07002090409,95,0.1099424344
WT,5,137,50579,0.04599877993,95,0.1099424344
WT,5,138,50580,0.0429910942,95,0.1099424344
WT,5,139,50581,0.03389753668,95,0.1099424344
WT,5,140,50582,0.09550310709,95,0.1099424344
WT,5,141,50583,0.01456966595,95,0.1099424344
WT,5,142,50584,0.1198661268,95,0.1099424344
WT,5,143,50585,0.08330063386,95,0.1099424344
WT,5,144,50586,0.06787548885,95,0.1099424344
WT,5,145,50587,0.0422711993,95,0.1099424344
WT,5,146,50588,0.04720258537,95,0.1099424344
WT,5,147,50589,0.1368021913,95,0.1099424344
WT,5,148,50590,0.02781184695,95,0.1099424344
WT,5,149,50591,0.1658132404,95,0.1099424344
WT,5,150,50592,0.01595671125,95,0.1099424344
WT,5,151,50593,0.03832061756,95,0.1099424344
WT,5,152,50594,0.05926897912,95,0.1099424344
WT,5,153,50595,0.07156137047,95,0.1099424344
WT,5,154,50596,0.04293278103,95,0.1099424344
WT,5,155,50597,0.02352852567,95,0.1099424344
WT,5,156,50598,0.06553972198,95,0.1099424344
WT,5,157,50599,0.05417756359,95,0.1099424344
WT,5,158,50600,0.07487811749,95,0.1099424344
WT,5,159,50601,0.07075004954,95,0.1099424344
WT,5,160,50602,0.05341927711,95,0.1099424344
WT,5,161,50603,0.08940808518,95,0.1099424344
WT,5,162,50604,0.0466564233,95,0.1099424344
WT,5,163,50605,0.04249577478,95,0.1099424344
WT,5,164,50606,0.1036792523,95,0.1099424344
WT,5,165,50607,0.05506387764,95,0.1099424344
WT,5,166,50608,0.1266110165,95,0.1099424344
WT,5,167,50609,0.06571730334,95,0.1099424344
