condition_key,amplitude,w_inter,trial_idx,seed,A_hat_final,peak_pyr_rate,center_final_deg,error_from_cue_deg
WT,5.0,2.0,82,345075200,0.04216659544123303,3.1122469944461937,273.6676093175671,93.6676093175671
WT,5.0,2.0,83,1788162809,0.03990311024260308,3.02121421554401,129.72095760869723,50.27904239130277
WT,5.0,2.0,86,208792607,0.02742582107187898,3.1479325040484345,282.99326471410643,102.99326471410643
WT,5.0,2.0,85,1503807854,0.011664959598652233,3.195002860024266,132.71460813783736,47.28539186216264
WT,5.0,2.0,84,1352408538,0.02801179954981917,3.3371463477622276,254.51324430815387,74.51324430815387
WT,5.0,2.0,87,670802254,0.019213425012661562,3.044037286597194,152.46874793106304,27.531252068936965
WT,5.0,2.0,88,1648932249,0.022842913617346725,3.3069579371340034,173.8865424482008,6.1134575517992005
WT,5.0,2.0,89,1787264313,0.01682181129477063,3.175542420592454,177.02837000578938,2.971629994210616
WT,5.0,2.0,90,934620676,0.05321910846664777,3.1133537637936555,252.9905274508346,72.9905274508346
WT,5.0,2.0,91,1728218297,0.016397116528974444,3.1230866202290266,47.46867094240668,132.53132905759333
WT,5.0,2.0,93,832103482,0.04380647991248677,3.464550427417787,143.38518345936467,36.61481654063533
WT,5.0,2.0,94,1928628490,0.02435132173646192,2.996255710880251,157.45907042340946,22.540929576590543
WT,5.0,2.0,92,1807519524,0.01236945542797548,3.208738008985411,3.2297947358688175,176.7702052641312
WT,5.0,2.0,95,619179887,0.07767913221746957,3.1797625184376863,163.3638052765652,16.636194723434812
WT,5.0,2.0,96,514446424,0.024204749866197334,3.3118905498148212,92.97288365837056,87.02711634162944
WT,5.0,2.0,98,1367435607,0.026966699125489973,3.191405293860778,23.985109105784733,156.01489089421526
WT,5.0,2.0,97,1465647933,0.020381993335715342,3.4971394203399204,151.01009029953065,28.989909700469354
WT,5.0,2.0,99,300116172,0.020838732713313192,3.2211047722438955,136.19165653258568,43.80834346741432
WT,5.0,3.0,0,191664963,0.08201754220869914,3.7588668741711224,204.68695863678658,24.686958636786585
WT,5.0,3.0,1,1662057957,0.03360815906130179,3.7492960277631284,129.15714237812023,50.84285762187977
WT,5.0,3.0,2,1405681631,0.06013360524644553,3.4131529517051353,209.01615843988216,29.01615843988216
WT,5.0,3.0,3,942484272,0.025503946628421006,3.9498882502358583,187.6903808428166,7.690380842816609
WT,5.0,3.0,5,1843824992,0.04812424858353121,4.0718870452679115,192.35612615582525,12.356126155825251
WT,5.0,3.0,7,1497586438,0.03551588020486221,3.75002252147445,200.16845472359236,20.16845472359236
WT,5.0,3.0,4,929893137,0.02299204742214441,3.7742605203578004,177.1319873140688,2.8680126859312054
WT,5.0,3.0,6,184566854,0.02208928722463614,4.040158873487412,152.31407726205387,27.68592273794613
WT,5.0,3.0,8,432652533,0.04070643174552227,3.832917992618051,166.09724087781134,13.902759122188655
WT,5.0,3.0,9,202244314,0.03493700128343141,3.8107419464682466,187.4434496766781,7.443449676678114
WT,5.0,3.0,10,1130604997,0.06764062676600763,3.8976177413486526,151.45880435979996,28.541195640200044
WT,5.0,3.0,11,2095133045,0.016384530022630708,3.808467713415397,201.8346204084535,21.834620408453503
WT,5.0,3.0,12,1580016183,0.050388000629478326,3.7630725290195395,237.214454858383,57.21445485838299
WT,5.0,3.0,15,1688060240,0.019133994215190606,3.5373323916491817,290.7465246006464,110.74652460064641
WT,5.0,3.0,14,1540770719,0.017515025859626422,3.6523861345505004,149.65639851884592,30.34360148115408
WT,5.0,3.0,13,1634535062,0.06197540407775074,3.941356693699156,154.64658224857325,25.353417751426747
WT,5.0,3.0,18,1803345590,0.07111270934863041,3.671925957859336,183.3766745540286,3.3766745540285967
WT,5.0,3.0,17,275121930,0.03785874018208583,4.062041733861676,226.86461751782537,46.864617517825366
WT,5.0,3.0,16,1102145672,0.04032526811488229,3.7786640708440724,168.8208499402418,11.1791500597582
WT,5.0,3.0,19,967196436,0.022471391182884905,4.271932668600203,241.6793842373188,61.6793842373188
WT,5.0,3.0,22,392022359,0.025718931522262716,3.940273321311723,142.31676663576943,37.683233364230574
WT,5.0,3.0,21,796282693,0.04892526376872853,4.1477957179539855,168.51417307744856,11.485826922551439
WT,5.0,3.0,23,1990212658,0.04007399022607888,3.9574314009228533,189.45085653603113,9.450856536031125
WT,5.0,3.0,20,1074497555,0.038833916728722724,4.158783694084547,241.1282905560157,61.12829055601571
WT,5.0,3.0,24,1678403330,0.04724690343840727,3.6453936118269086,128.04822781974485,51.95177218025515
WT,5.0,3.0,25,1382689815,0.050046412135399766,4.293172223126335,220.98488572937987,40.98488572937987
WT,5.0,3.0,26,864178266,0.028779363704894232,3.8656723785353204,121.59206621959923,58.40793378040077
WT,5.0,3.0,27,1766867109,0.02273800336034106,3.904877545947578,347.8197041567139,167.8197041567139
WT,5.0,3.0,28,1171300112,0.014862431618815014,3.8442863083999184,108.0179368453876,71.9820631546124
WT,5.0,3.0,29,952224740,0.03670318554208831,4.293291661775856,193.06531278856275,13.06531278856275
WT,5.0,3.0,30,967354524,0.02482665583277532,3.7357712564326038,192.9419078376669,12.94190783766689
